,Adj Close,Adj Close,Adj Close,Adj Close
,AAPL,GOOG,MSFT,TSLA
Date,,,,
2009-09-B2,5.612656593322754,12.069260597229004,18.92656898498535,
2009-10-B1,5.745006084442139,13.27648639678955,19.734118461608887,
2009-10-B2,5.956276893615723,13.571754932403564,21.13694190979004,
2009-11-B1,6.052652835845947,13.986948490142822,22.046865463256836,
2009-11-B2,6.008589108784993,14.402100880940756,22.516157786051433,
2009-12-B1,5.920760869979858,14.78122091293335,22.92879295349121,
2009-12-B2,6.371079206466675,15.422940731048584,23.412426948547363,
2010-01-B1,6.342850208282471,14.720075607299805,23.427659034729004,
2010-01-B2,5.91636061668396,13.448965072631836,21.75969696044922,
2010-02-B1,6.007880449295044,13.25544023513794,21.306527137756348,
2010-02-B2,6.166486024856567,13.294668674468994,21.924994468688965,
2010-03-B1,6.762356996536255,14.243486404418945,22.136916160583496,
2010-03-B2,6.972768465677897,14.043112754821777,22.550116856892902,
2010-04-B1,7.4247050285339355,13.902514934539795,23.342086791992188,
2010-04-B2,8.073241233825684,13.33364725112915,23.52956485748291,
2010-05-B1,7.43214225769043,12.461665630340576,21.86144733428955,
2010-05-B2,7.64098580678304,12.091345151265463,20.06396420796712,
2010-06-B1,8.007370233535767,12.310482025146484,20.023115158081055,
2010-06-B2,7.79579758644104,11.322933673858643,18.37053680419922,1.2799999713897705
2010-07-B1,7.733263969421387,11.545475006103516,18.89321994781494,1.2680000066757202
2010-07-B2,7.849675178527832,12.140868186950684,19.838640213012695,1.3743329644203186
2010-08-B1,7.7282555103302,12.286073684692383,19.196825981140137,1.2636665105819702
2010-08-B2,7.589077472686768,11.549626032511393,18.628602345784504,1.3299996455510457
2010-09-B1,8.177359104156494,12.033519744873047,18.95922565460205,1.3466669917106628
2010-09-B2,8.724664688110352,13.112226963043213,18.99400043487549,1.3566665053367615
2010-10-B1,9.240243911743164,14.169389247894287,19.361047744750977,1.3656665086746216
2010-10-B2,9.234780311584473,15.270637035369873,20.110612869262695,1.4186664819717407
2010-11-B1,9.488395690917969,15.297286987304688,20.52402400970459,1.8093330264091492
2010-11-B2,9.502866744995117,14.560673077901205,20.163715362548828,2.1733333269755044
2010-12-B1,9.73138952255249,14.732404232025146,21.47427463531494,2.0959999561309814
2010-12-B2,9.807124614715576,14.921570301055908,21.851353645324707,1.8906665444374084
2011-01-B1,10.390549182891846,15.449840068817139,22.119589805603027,1.7996670007705688
2011-01-B2,10.212669690450033,15.141578992207846,21.65050443013509,1.5668890078862507
2011-02-B1,10.736751079559326,15.623688697814941,21.112741470336914,1.5476664900779724
2011-02-B2,10.748135566711426,15.076738357543945,20.529744148254395,1.6186665296554565
2011-03-B1,10.361104488372803,14.169016361236572,19.739831924438477,1.5676669478416443
2011-03-B2,10.565091133117676,14.589564800262451,19.982282638549805,1.647000014781952
2011-04-B1,10.055428981781006,13.808990478515625,20.115239143371582,1.7356665134429932
2011-04-B2,10.636881828308105,13.315092086791992,20.115239143371582,1.8113335371017456
2011-05-B1,10.429405689239502,13.260919570922852,19.904074668884277,1.8223334550857544
2011-05-B2,10.28096866607666,13.017955780029297,19.155616760253906,1.9477780262629192
2011-06-B1,9.807124137878418,12.385201930999756,18.881275177001953,1.8119999766349792
2011-06-B2,10.163036823272705,12.402388095855713,19.806248664855957,1.8863335251808167
2011-07-B1,10.998106479644775,14.067396640777588,21.13663673400879,1.879667043685913
2011-07-B2,11.895858764648438,15.216962814331055,21.620771408081055,1.9153335094451904
2011-08-B1,11.392420291900635,14.231781005859375,19.987306594848633,1.6850000023841858
2011-08-B2,11.26841958363851,12.807162602742514,19.791083653767902,1.5355556805928547
2011-09-B1,11.807828903198242,13.34410810470581,20.937326431274414,1.6256664991378784
2011-09-B2,11.923786163330078,12.958303928375244,19.784703254699707,1.6923335194587708
2011-10-B1,12.017582416534424,13.783336639404297,21.198752403259277,1.8346664905548096
2011-10-B2,12.12240982055664,14.834147771199545,21.227793375651043,2.0046666860580444
2011-11-B1,11.528257369995117,14.98421049118042,20.679866790771484,2.2079999446868896
2011-11-B2,11.432793140411377,14.736763000488281,19.762081146240234,2.1653335094451904
2011-12-B1,11.757134914398193,15.608744621276855,20.63206195831299,1.968000054359436
2011-12-B2,12.268468856811523,15.928296089172363,20.747790336608887,1.8820000290870667
2012-01-B1,12.782683372497559,15.878110408782959,22.491740226745605,1.6566665172576904
2012-01-B2,13.429704030354818,14.630992889404297,23.726207097371418,1.9351110061009724
2012-02-B1,15.109853267669678,15.075368881225586,24.64274311065674,2.2023329734802246
2012-02-B2,16.203404903411865,15.331907272338867,25.532054901123047,2.2596664428710938
2012-03-B1,17.161861419677734,15.258931159973145,25.945805549621582,2.335333466529846
2012-03-B2,18.14627742767334,15.987948417663574,25.817255973815918,2.3773335218429565
2012-04-B1,18.80361843109131,15.652829647064209,25.037962913513184,2.268999934196472
2012-04-B2,17.61840311686198,15.010486920674643,25.54276466369629,2.1851112842559814
2012-05-B1,16.65113639831543,15.014098644256592,24.274733543395996,1.9936665296554565
2012-05-B2,17.048633575439453,14.477111339569092,23.253352165222168,1.9320000410079956
2012-06-B1,17.5217227935791,14.258554935455322,24.126720428466797,1.999666452407837
2012-06-B2,17.69853973388672,14.340622901916504,24.781744956970215,2.1693334579467773
2012-07-B1,18.37773036956787,14.476986408233643,24.090330123901367,2.1746665239334106
2012-07-B2,18.265267690022785,15.667192459106445,24.160418192545574,1.9682219823201497
2012-08-B1,19.314831733703613,16.427675247192383,24.793869972229004,1.9983335733413696
